,Title,Title_cleaned,Car_type,Site
0,X5 E53 3.0D в гарному стані,гарний стан,0,Olx
1,Volvo XC90,volvo,0,Olx
2,Продам Honda CR-V дизильна  2008 год,продати honda cr v дизильний рік,0,Olx
3,Honda CR-V для ЗСУ,honda cr v зсу,0,Olx
4,Hyundai Terracan 2.9 дизель 2005 рік Механіка Повний Привід 4х4 Супер,hyundai terracan дизель рік механіка привід супер,0,Olx
5,Продам субару  форестер,продати субар форестер,0,Olx
6,Nissan X-Trail 2.2 дизель 4x4 продам или обмен,nissan x trail дизель проди обмін,0,Olx
7,Продам Kia Sorento,продати kia sorento,0,Olx
8,Nissan Pathfinder r51 2.5dci,nissan pathfinder,0,Olx
9,Nissan Pathfinder 2.5 авто для ЗСУ,nissan pathfinder авто зсу,0,Olx
10,Nissan X-Trail дизель для ЗСУ в Україні,nissan x trail дизель зсу україна,0,Olx
11,BMW X5 3.0 дизель 2002 рік Автомат  Немає Задньоі передачи (На Ходу),bmw дизель рік автомат немати задній передача хода,0,Olx
12,Продам Kia Sorento 2.5,продати kia sorento,0,Olx
13,Jeep Renegade 2015 2.4 газ бензин,jeep renegade газ бензин,0,Olx
14,SsangYong Kyron 2.0 дизель. Автомат.,ssangyong kyron дизель автомат,0,Olx
15,Nissan X-Trail 2.0D 2012 1 власник. Готовий до поїздок,nissan x trail власник готовий подорож,0,Olx
16,Toyota Rav 4 2.2 дизель D4D 4x4 идеальное состояние продам или обмен,toyota rav дизель ідеальний стан проди обмін,0,Olx
17,Mazda Cx9 3.5 Gaz4,mazda,0,Olx
18,Продам kia sorento,продати kia sorento,0,Olx
19,Продам хороший авто,продати гарний авто,0,Olx
20,"Продається BMW X5 e53 в дуже гарному стані , такий як цей Х5  є тільки пару машин !!!",продаватися bmw дуже гарний стан бути пара машина,0,Olx
21,Продаю.      ИКСА,продавати ікса,0,Olx
22,Honda CR-V 2.2 дизель 4x4 продам или обмен,honda cr v дизель продити обмін,0,Olx
23,Kia Sorento 2.5 TDI 4х4 автомат,kia sorento tdi автомат,0,Olx
24,Mitsubishi Pajero Sport  2008,mitsubishi pajero sport,0,Olx
25,Nissan X-Trail для ЗСУ дизель повний привід в Україні,nissan x trail зсу дизель,0,Olx
26,"Джип, GMC Yukon Denali, кроссовер",джип gmc yukon denali кросовер,0,Olx
27,Jeep Compass 2014,jeep compass,0,Olx
28,Volvo xc90  в хорошому стані,volvo хороший стан,0,Olx
29,Nissan Rogue SL 2023 . Стан нового авто,nissan rogue sl стан новий авто,0,Olx
30,Opel Monterey 3.1 дизель 2001 рік Механіка Повний Привід 4х4 Танк,opel monterey дизель рік механіка привід танк,0,Olx
31,Продам Ниву на бойовом ходу,продати нив бойовий хід,0,Olx
32,Хюндай сантафе Автомат Повний привід,хюндай сантафе повний привід,0,Olx
33,BMW X5 E53 рест 3.0 TDI M57  чорний на чорному,bmw рест tdi чорний чорний,0,Olx
34,"Honda CR-V, повний привід,механіка 2,2 дизель",honda cr v повний привід механіка дизель,0,Olx
35,Nissan X-Trail дизельний джип для ЗСУ в Україні,nissan x trail дизельний джип зсу україна,0,Olx
36,Nissan X-Trail 2.2 дизель 2003 рік Механіка Повний Привід 4х4 Гарний,nissan x trail дизель рік механіка привід гарний,0,Olx
37,Dacia Duster 2014 1.5 дизель Обмін,dacia duster дизель обмін,0,Olx
38,Hyundai Terakan  2.9 дизель.,hyundai terakan дизель,0,Olx
39,BMW X5 xDrive35i      2012,bmw,0,Olx
40,Peugeot 3008  2018р,peugeot,0,Olx
41,"Nissan 4х4-в наявності,свіжопригнаний",nissan наявність,0,Olx
42,Тайота Рав 4.,тайота рав,0,Olx
43,Toyota Prado 4.0,toyota prado,0,Olx
44,Продаж автомобіля Tesla Model Y 2024,продаж автомобіль tesla model y,0,Olx
45,BMW X-5 e53  2005року 3.0 дизель,bmw x дизель,0,Olx
46,Продам х5 в гарному стані,продати гарний стан,0,Olx
47,Продам нісан патрул 3л дизель автомат,продати нісан патрул дизель автомат,0,Olx
48,Renault Koleos 2016,renault koleos,0,Olx
49,Авто в дуже хорошому стані,авто дуже хороший стан,0,Olx
50,BMW X5 E53 3.0D M57 6800$ в Одессе максимальная комплектация,bmw одесі максимальний комплектація,0,Olx
51,Продам поджеро спорт,продати поджерти спорт,0,Olx
52,Ваз 2106 в идеальном состоянии (не крашена),ваз ідеальний стан фарбований,1,Olx
53,Продам свою трудягу,продати трудяга,1,Olx
54,Audi A4 2.0T Premium Plus      2011,audi premium plus,1,Olx
55,Ваз Калина гбо переоформление,ваз калина гбо переоформлення,1,Olx
56,Киа меджентикс 2 л гур конден газ4,кіа меджентікс л гур конден,1,Olx
57,Продам Mazda 3 1.6 Автомат 2006 год,продати mazda автомат рік,1,Olx
58,Renault logan 2 2018г,renault logan,1,Olx
59,Продам Джильку МК 2008 р. Один власник.,продати джильк мк р власник,1,Olx
60,peugeot 206 повністю на ходу,peugeot повністю хід,1,Olx
61,Kia Magentis 2.7 Автомат один власник  з салону,kia magentis автомат один власник салон,1,Olx
62,Toyota Avensis 1.8 газ/бензин,toyota avensis газ бензин,1,Olx
63,Хюндай Акцент  хороший,хюндай акцент хороший,1,Olx
