Id|Sentiment|Translated_comment|Original_comment
0|1|Received the station, charged it once and used it until the charge dropped to 34%, the light came on, I decided to charge it, the charge lasted 5 minutes, then it simply stopped. That's it, I got a brick for 51 thousand UAH. They refused to return it, they said they would send it to the service center, diagnostics within 21 days.  Shipping at my own expense, that is, in the best case, I will get the station opened for repair and even more expensive.|Получить станцию, один раз зарядил и пользовался до снижения заряда 34% дали свет, решил поставить заряжаться, зарядка продлилась 5 минут после чего просто прекратилась. На этом все, я получил кирпич за 51 тыс грн. В возврате отказали, сказали отправлять в сервисный центр, диагностика до 21 дня.  Отправка за свои средства, то есть в лучшем случае я получу станцию вскрыть с ремонта и еще дороже.
1|1|I placed the order on Thursday evening and received the station already on Friday. I recommend the seller, everything is high quality and most importantly fast, which was very important for me. I have experience using Delta 2 for more than a year, so I confidently ordered a second one. This is a real helper nowadays.|В четвер ввечері оформила замовлення, станцію вже в п'ятницю отримала. Рекомендую продавця, все якісно та головне швидко, що для мене було дуже важливо. Досвід користування маю вже більше року Дельта 2, тому впевнено замовила другу. Це реальний помічник в наш час.
2|1|Ordered yesterday - received today.  It's really great.  The station fully meets the specifications. I installed it as an uninterrupted power supply on the boiler and the refrigerator. The light went out - they are working.  A mountain off your shoulders. I recommend the seller and the product!|Вчера заказал- сегодня получил.  Это вообще супер.  Станция полностью соответствует характеристикам . Поставил в качестве бесперебойника на котел и холодильник . Свет погас - они работают .  Гора с плеч . Рекомендую продавца  и товар !
3|1|Everything is great, sent on the same day.|Все супер, відправили в той самий день.
4|1|Everything is great. I have been using it for 2 months, there are no complaints. Fast charging, mobile in use. I am very satisfied. I recommend|Всё чудово. Користуюсь 2 місяці, ніяких нарікань немає. Швидко заряджається, мобільна в користуванні. Я дуже задоволена. Рекомендую.
5|1|Good product. Prompt delivery. Everything is excellent|Хороший товар. Оперативная поставка. Все отлично
6|0|Delivered by address delivery, quickly on the same day!|Доставили адресной доставкой, быстро в тот же день!
7|1|A very high-quality item, I recommend it, works without complaints|Дуже якісна річ рекомендую працює без нарікань
8|1|Super, good price, fast delivery, good service|Супер, гарна ціна, швидка доставка, гарне обслуговування
9|1|Thanks to the seller, I liked everything.|Дякую продавцю, все сподобалось.
10|1|Very satisfied with the station. Works well, makes a little noise from time to time, but it's not critical. I waited for it for a whole month (the seller warned about it), but it was worth it. Now I can work from home and not worry about outages. Thank you to the seller. I sincerely recommend!|Дуже задоволена станцією. Працює добре, час від часу трошки шумить але це не критично. Очікувала її цілий місяць (про це попереджав продавець), але воно того варте було. Тепер можу спокійно працювати з дому і не нервувати з приводу відключень. Дякую продавцю  Щиро раджу!
11|1|everything is great|все супер
12|0|I only had time to use it for a week, then I left for half a year. During the time of use, I can say that I am satisfied with this model. 300 watts is enough for 3-4 hours. 60 watts for 17 hours. The speed of switching from the TV to the PS5 console is about 20 m/s, which is also enough for the UPS to work. I left it fully charged (poets already learned that it was necessary to leave at least 60-80%), let's see how it will work upon arrival.|Користуватися нею я встиг лише тиждень, потім на пів року поїхав. За час користування можу сказати, що я задоволений цією моделлю. 300 ватів на 3-4 години вистачає. 60 ватів на 17 годин. Швидкість переключення на ТВ на консоль PS5 десь 20м/с теж вистачає, щоб спрацював ДБЖ. Я її залишив повністю зарядженою (поетів вже дізнався що треба було хоча б на 60-80% залишити), подивимось як вона працюватиме по приїзду.
13|1|The speed of processing the order, the quality of the station, the instruction of the seller - everything is excellent. A computer and a laptop take 7-8 hours together (without heavy games). It takes 50-60 minutes to charge. Very mobile thanks to its light weight and shape. Very helpful in conditions of unstable light schedules.|Швидкість оброблення замовлення, якість станції, інструктаж продавця - все чудово. Комп'ютер та ноутбук разом тягне 7-8 годин (без важких ігр). Заряджається 50-60 хвилин. Дуже мобільний завдяки невеликій вазі та формі. Дуже виручає в умовах нестабільних графіків світла.
14|1|I am satisfied with the work of the charging station. I am sincerely grateful to Viktor for his professional support and qualified advice.|Роботою зарядного станції задоволена. Щиро вдячна Віктору за професійний супровід та кваліфіковані поради.
15|0|"The station was used to charge gadgets. It turned out that she also ""pulls"" the refrigerator"|Станцію брали для зарядки гаджетів. Виявилося, вона ще й холодильник 'тягне'
16|1|Everything is great. A necessary thing, especially this winter. the station just helped out during all the outages.|Все супер. Необхідна річ, особливо переконалися в цю зиму. просто виручала станція за час всіх відключень.
17|1|It charges quickly, from 7 to 100% - 60 minutes. Shows how many hours, under a certain load, the charge remains. Large numbers are especially convenient for the elderly. Great design, lightweight. The service is excellent, they called right away and the support during the delivery is complete.|Швидко заряджається, з 7 до 100% - 60 хв. Показує на скільки годин, при певному навантаженні , залишилося заряду. Великі цифри особливо зручно для літніх людей. Чудовий дизайн, легка. Сервіс чудовий, відразу подзвонили і супровід протягом доставки повний.
18|0|We ordered the product on Sunday, received it on Monday, were pleasantly surprised by such a fast delivery.|Замовили товар у неділю, у понеділок вже отримали, були приємно здивовані такою швидкою доставкою.
19|1|Thank you|Дякую
20|1|The seller is great, sent quickly. I ordered on January 8, it was already delivered on January 9. I really liked the station. Works quietly, charges quickly, holds everything that needs to be held. I advise everyone.|Продавець супер, швидко відправила. Я 8 січня замовила, 9 січня вже доставили. Станція дуже сподобалася. Працює тихо, заряджається швидко, тримає все що треба тримати. Раджу всім.
21|1|Works great!|Работает отлично!
22|1|Thank you, everything is fine|Дякую, все добре
23|1|The order arrived quickly, the station is super.|Замовлення дійшло швидко станція супер.
24|1|Everything is fine, works without complaints, the best product for keeping the light on during power outages. The seller is excellent, always answered quickly and clearly.|Все добре, працює без нарікань, кращий товар для підтримання світла при відключеннях. Продавець чудовий, завжди відповідав бистро і чітко.
25|1|Thank you very much to the seller for the timely delivery, good consultation, and quality goods, I ordered a charging station for the boys of the 72nd brigade, the boys have already received and are very satisfied|Дуже дякую продавцю за вчасну доставку, гарну консультацію, та якісний товар, замовляла зарядну станцію для хлопців 72 бригади, хлопці вже отримали і дуже задоволенні
26|1|Works great|Працює чудово
27|1|Teacher is great|Вче чудово
28|1|Good afternoon, please tell me, the station arrived with one power cable and discharged to 28%, is this normal? Because I didn't come across it.|Доброго дня, підкажіть будь ласка прийшла станція з одним силовим кабелем і розряджена до 28% це нормально? Бо я з цим  не стикався.
