Id|Comment
0|I work while traveling - these are the most comfortable headphones! The noise reduction in the plane works like a charm, charging is enough for a long flight.
1|"AirPods Pro 2 (USB-C) are the best TWS for iPhone. Yes, they are expensive, but for this money you get:  The best ANC in its class,  Perfect integration with iOS (instant switching, ""Find iPhone"" for each headphone),  Water resistance and fantastic comfort. USB-C has finally united the charging of all devices. If the budget allows - take without thinking!"
2|Noisemaker is magic. Only music can be heard in the subway, no extraneous sounds. Switched to USB-C - now I charge with the MacBook. The sound is clear, the bass is soft, and Transparency Mode is like listening to everything around you without distortion.
3|The best wireless headphones! I have been using it for 4 months, the sound is excellent, the noise canceler works flawlessly in the subway. USB-C charging is convenient.
4|I bought it after Samsung buds, I am disappointed, the synchronization with Android is not as convenient as I expected, many functions do not work, the sound is good
5|Ideal for sports! They do not fall out of the ears, they are not afraid of sweat. The transparency feature lets you hear your surroundings while running.
6|airpods about 2 are very cool noise canceling works like in expensive headphones, the sound is super with an iPhone, they connect immediately
7|I run with AirPods Pro 2 every day - they hold perfectly and do not fall out even during intensive training. Sweat and water protection gives you confidence in the rain. The battery is enough for long runs, and fast charging is a lifesaver.
8|After 2 months, the left earphone stopped holding a charge. It charges in 20 minutes. The service said there was a lack of battery. Very disappointed
9|I use it for work calls - the microphone is clear, I can be heard perfectly. Noise reduction in the office simply saves! Type-C charging is more convenient.
10|headphones are normal, but for such money I expected better quality, the plastic was scratched in a month, the battery quickly settles in noise canceling mode
11|AirPods Pro 2 are not just headphones, but a technological masterpiece. The H2 chip provides lightning-fast switching between devices and stunning spatial sound. ANC now blocks even more low frequencies - the subway is as quiet as a library. USB-C is a logical and long-awaited update!
12|Working with music - these are the most accurate TWS headphones! The frequency range is ideal, noise reduction allows you to concentrate. I recommend it to professionals!
13|I have been using it for a month - full of delight! The noise canceler works flawlessly, the sound is clear and deep. Autonomy has improved compared to the first version.
14|erpods pro 2 top, the sound is great, they don't feel in the ears, they charge quickly
15|Switched from AirPods Pro 1 to the second generation - the difference is noticeable! Noise canceling has become 30-40% more effective, the sound is more detailed, and the case with USB-C is what was missing. If you choose between them, you should definitely take the new version.
16|I bought it after the first ones, the sound has improved, but the right earphone sometimes crackles with active noise cancellation, I had to take it to the service
17|AirPods Pro 2 with USB-C is convenience in every detail. Transparent mode is now even more natural - everything is heard as if nothing is in the ears. The battery lasts for 6 hours with ANC, and up to 30 hours with the case. Sensory volume control on the stem is brilliant!
18|These are the best headphones I've ever owned! The noise cancellation works perfectly, the sound is clear and voluminous. A case with USB-C is convenient.
19|I bought airpods about 2 and they are super quiet, they work great, the sound is clear and the bass is good, usb-c is now possible to charge everything with one cable
20|AirPods Pro 2 is a new level of wireless headphones! The updated system of active noise reduction is like magic: in the subway or in a cafe, all background noise simply disappears. The sound became even clearer, with good bass. And USB-C is finally the convenience of charging together with other gadgets. They fit so comfortably in my ears that sometimes I forget they're there.
