Id|Sentiment|Translated_comment|Original_comment
0|1|I work while traveling - these are the most comfortable headphones! The noise reduction in the plane works like a charm, charging is enough for a long flight.|Працюю в подорожах - це найзручніші навушники! Шумозаглушення в літаку працює чарівно, зарядки вистачає на довгий переліт.
1|1|"AirPods Pro 2 (USB-C) are the best TWS for iPhone. Yes, they are expensive, but for this money you get:  The best ANC in its class,  Perfect integration with iOS (instant switching, ""Find iPhone"" for each headphone),  Water resistance and fantastic comfort. USB-C has finally united the charging of all devices. If the budget allows - take without thinking!"|"AirPods Pro 2 (USB-C) – лучшие TWS для iPhone. Да, они дорогие, но за эти деньги вы получаете:  Лучшее ANC в своем классе,  Идеальную интеграцию с iOS (мгновенное переключение, «Найти iPhone» для каждого наушника),  Водостойкость и фантастический комфорт. USB-C наконец-то объединил зарядку всех устройств. Если бюджет позволяет – берите не задумываясь!"
2|1|Noisemaker is magic. Only music can be heard in the subway, no extraneous sounds. Switched to USB-C - now I charge with the MacBook. The sound is clear, the bass is soft, and Transparency Mode is like listening to everything around you without distortion.|Шумодав – це магія! В метро чути тільки музику, ніяких сторонніх звуків. Перейшов на USB-C – тепер заряджаю разом з MacBook. Звук чистий, баси м’які, а Transparency Mode – як слухати все навколо без зняття.
3|1|The best wireless headphones! I have been using it for 4 months, the sound is excellent, the noise canceler works flawlessly in the subway. USB-C charging is convenient.|Лучшие беспроводные наушники! Пользуюсь 4 месяца, звук превосходный, шумодав работает безупречно в метро. Зарядка USB-C - удобно.
4|1|I bought it after Samsung buds, I am disappointed, the synchronization with Android is not as convenient as I expected, many functions do not work, the sound is good|купив після samsung buds розчарований синхронізація з андроїд не така зручна як очікував багато функцій не працюють звук хороший
5|1|Ideal for sports! They do not fall out of the ears, they are not afraid of sweat. The transparency feature lets you hear your surroundings while running.|Ідеальні для спорту! Не випадають з вух, не бояться поту. Функція прозорості дозволяє чути навколишнє середовище під час бігу.
6|1|airpods about 2 are very cool noise canceling works like in expensive headphones, the sound is super with an iPhone, they connect immediately|ерподс про 2 дуже класні шумодав працює як у дорогих навушниках звук супер з айфоном одразу підключаються
7|1|I run with AirPods Pro 2 every day - they hold perfectly and do not fall out even during intensive training. Sweat and water protection gives you confidence in the rain. The battery is enough for long runs, and fast charging is a lifesaver.|Бігаю з AirPods Pro 2 щодня – вони ідеально тримаються, не випадають навіть при інтенсивному тренуванні. Захист від поту та води дає впевненість під час дощу. Батареї вистачає на довгі пробіжки, а швидка зарядка – це порятунок.
8|0|After 2 months, the left earphone stopped holding a charge. It charges in 20 minutes. The service said there was a lack of battery. Very disappointed|Через 2 месяца левый наушник перестал держать заряд Разряжается за 20 минут В сервисе сказали брак батареи Очень разочарован
9|1|I use it for work calls - the microphone is clear, I can be heard perfectly. Noise reduction in the office simply saves! Type-C charging is more convenient.|Використовую для робочих дзвінків - мікрофон чіткий, мене чудово чують. Шумозаглушення в офісі просто рятує! Зарядка Type-C зручніша.
10|1|headphones are normal, but for such money I expected better quality, the plastic was scratched in a month, the battery quickly settles in noise canceling mode|навушники норм але за такі гроші очікував кращої якості пластик подряпався за місяць акумулятор швидко сідає в режимі шумодаву
11|1|AirPods Pro 2 are not just headphones, but a technological masterpiece. The H2 chip provides lightning-fast switching between devices and stunning spatial sound. ANC now blocks even more low frequencies - the subway is as quiet as a library. USB-C is a logical and long-awaited update!|AirPods Pro 2 – это не просто наушники, а технологический шедевр. Чип H2 обеспечивает молниеносное переключение между устройствами и потрясающий пространственный звук. ANC теперь блокирует даже больше низких частот – в метро тихо, как в библиотеке. USB-C – логичное и долгожданное обновление!
12|1|Working with music - these are the most accurate TWS headphones! The frequency range is ideal, noise reduction allows you to concentrate. I recommend it to professionals!|Працюю з музикою - це найточніші TWS навушники! Діапазон частот ідеальний, шумозаглушення дозволяє зосередитись. Рекомендую професіоналам!
13|1|I have been using it for a month - full of delight! The noise canceler works flawlessly, the sound is clear and deep. Autonomy has improved compared to the first version.|Пользуюсь месяц - полный восторг! Шумодав работает безупречно, звук чистый и глубокий. Автономность улучшилась по сравнению с первой версией.
14|1|erpods pro 2 top, the sound is great, they don't feel in the ears, they charge quickly|ерподс про 2 топ звук класний в вухах не відчуваються заряжаються швидко
15|0|Switched from AirPods Pro 1 to the second generation - the difference is noticeable! Noise canceling has become 30-40% more effective, the sound is more detailed, and the case with USB-C is what was missing. If you choose between them, you should definitely take the new version.|Перейшов з AirPods Pro 1 на друге покоління – різниця відчутна! Шумозаглушення стало на 30-40% ефективніше, звук детальніший, а футляр з USB-C – це те, чого не вистачало. Якщо вибираєте між ними – безумовно варто брати нову версію.
16|0|I bought it after the first ones, the sound has improved, but the right earphone sometimes crackles with active noise cancellation, I had to take it to the service|купив після перших про звук покращився але в правому навушнику іноді тріщить при активному шумозаглушенні довелось нести в сервіс
17|1|AirPods Pro 2 with USB-C is convenience in every detail. Transparent mode is now even more natural - everything is heard as if nothing is in the ears. The battery lasts for 6 hours with ANC, and up to 30 hours with the case. Sensory volume control on the stem is brilliant!|AirPods Pro 2 с USB-C – это удобство в каждой детали. Прозрачный режим теперь еще естественнее – слышно всё, будто ничего нет в ушах. Батареи хватает на 6 часов с ANC, а с футляром – до 30 часов. Сенсорное управление громкостью на стебельке – гениально!
18|1|These are the best headphones I've ever owned! The noise cancellation works perfectly, the sound is clear and voluminous. A case with USB-C is convenient.|Це найкращі навушники з усіх, що я коли-небудь мала! Шумозаглушення працює ідеально, звук чистий та об'ємний. Кейс з USB-C - зручно.
19|1|I bought airpods about 2 and they are super quiet, they work great, the sound is clear and the bass is good, usb-c is now possible to charge everything with one cable|купів ерподс про 2 і вони супер шумодав працює на ура звук чіткий і басиста гарні usb-c тепер можна одним кабелем все заряжати
20|1|AirPods Pro 2 is a new level of wireless headphones! The updated system of active noise reduction is like magic: in the subway or in a cafe, all background noise simply disappears. The sound became even clearer, with good bass. And USB-C is finally the convenience of charging together with other gadgets. They fit so comfortably in my ears that sometimes I forget they're there.|AirPods Pro 2 – це новий рівень бездротових навушників! Оновлена система активного шумозаглушення – як магія: у метро чи в кафе просто зникає весь фоновий шум. Звук став ще чистішим, з гарними басами. А USB-C – це нарешті зручність зарядки разом з іншими гаджетами. Вони так комфортно сидять у вухах, що іноді забуваю, що вони там є.
