Id|Comment
0|Received the station, charged it once and used it until the charge dropped to 34%, the light came on, I decided to charge it, the charge lasted 5 minutes, then it simply stopped. That's it, I got a brick for 51 thousand UAH. They refused to return it, they said they would send it to the service center, diagnostics within 21 days.  Shipping at my own expense, that is, in the best case, I will get the station opened for repair and even more expensive.
1|I placed the order on Thursday evening and received the station already on Friday. I recommend the seller, everything is high quality and most importantly fast, which was very important for me. I have experience using Delta 2 for more than a year, so I confidently ordered a second one. This is a real helper nowadays.
2|Ordered yesterday - received today.  It's really great.  The station fully meets the specifications. I installed it as an uninterrupted power supply on the boiler and the refrigerator. The light went out - they are working.  A mountain off your shoulders. I recommend the seller and the product!
3|Everything is great, sent on the same day.
4|Everything is great. I have been using it for 2 months, there are no complaints. Fast charging, mobile in use. I am very satisfied. I recommend
5|Good product. Prompt delivery. Everything is excellent
6|Delivered by address delivery, quickly on the same day!
7|A very high-quality item, I recommend it, works without complaints
8|Super, good price, fast delivery, good service
9|Thanks to the seller, I liked everything.
10|Very satisfied with the station. Works well, makes a little noise from time to time, but it's not critical. I waited for it for a whole month (the seller warned about it), but it was worth it. Now I can work from home and not worry about outages. Thank you to the seller. I sincerely recommend!
11|everything is great
12|I only had time to use it for a week, then I left for half a year. During the time of use, I can say that I am satisfied with this model. 300 watts is enough for 3-4 hours. 60 watts for 17 hours. The speed of switching from the TV to the PS5 console is about 20 m/s, which is also enough for the UPS to work. I left it fully charged (poets already learned that it was necessary to leave at least 60-80%), let's see how it will work upon arrival.
13|The speed of processing the order, the quality of the station, the instruction of the seller - everything is excellent. A computer and a laptop take 7-8 hours together (without heavy games). It takes 50-60 minutes to charge. Very mobile thanks to its light weight and shape. Very helpful in conditions of unstable light schedules.
14|I am satisfied with the work of the charging station. I am sincerely grateful to Viktor for his professional support and qualified advice.
15|"The station was used to charge gadgets. It turned out that she also ""pulls"" the refrigerator"
16|Everything is great. A necessary thing, especially this winter. the station just helped out during all the outages.
17|It charges quickly, from 7 to 100% - 60 minutes. Shows how many hours, under a certain load, the charge remains. Large numbers are especially convenient for the elderly. Great design, lightweight. The service is excellent, they called right away and the support during the delivery is complete.
18|We ordered the product on Sunday, received it on Monday, were pleasantly surprised by such a fast delivery.
19|Thank you
20|The seller is great, sent quickly. I ordered on January 8, it was already delivered on January 9. I really liked the station. Works quietly, charges quickly, holds everything that needs to be held. I advise everyone.
21|Works great!
22|Thank you, everything is fine
23|The order arrived quickly, the station is super.
24|Everything is fine, works without complaints, the best product for keeping the light on during power outages. The seller is excellent, always answered quickly and clearly.
25|Thank you very much to the seller for the timely delivery, good consultation, and quality goods, I ordered a charging station for the boys of the 72nd brigade, the boys have already received and are very satisfied
26|Works great
27|Teacher is great
28|Good afternoon, please tell me, the station arrived with one power cable and discharged to 28%, is this normal? Because I didn't come across it.
29|We were pleasantly surprised that the device was charged to 80%, it was time to check it right away, because there was no light, the device starts the boiler without any problems, and also charges quickly, in 6 hours without light it discharges to 50%, and manages to fully charge in half an hour, and still works without a sound when there is no light!  Ecoflo charges only when the light is turned on, then the fan turns on. Therefore, we are completely satisfied
30|Good evening! 3 days ago I received an ecoflow from you, checked, everything works, the boiler is also a two-circuit Rens, connected the socket-barrier-stabilizer-ecoflow-boiler in a chain. they turned off the light, the boiler works, the electrics, but it does not light up. I turned it off, plugged the boiler into the network. What's the problem? In zero? It's very interesting, because it worked at first, I'm really looking forward to the answer
31|On the seller's page, the complete set is incorrectly indicated! There is no charging cable in the car. Which became critical during long outages.
32|I am testing the station - so far everything is fine.
33|Thank you very much, my best recommendations.
34|top for your money
35|Good day! Feedback more about using RozetkaEU services.  I made an order on January 11. In the evening of January 16, courier Myst was already standing at the entrance with the goods. The goods hung out longer in Europe, and after crossing the border, Myst brought it to my doorstep in Kyiv in just 2 days. I was pleasantly surprised.  The charging station arrived nicely packed, undamaged, fully equipped. Registered the warranty in the app without any problems. I waited a couple of hours for the station to warm up and start charging. The first charge was at 350 Watts, the next ones were already pounding at 1200. Everything seems to be fine.
