Id|Comment
0|Получить станцию, один раз зарядил и пользовался до снижения заряда 34% дали свет, решил поставить заряжаться, зарядка продлилась 5 минут после чего просто прекратилась. На этом все, я получил кирпич за 51 тыс грн. В возврате отказали, сказали отправлять в сервисный центр, диагностика до 21 дня.  Отправка за свои средства, то есть в лучшем случае я получу станцию вскрыть с ремонта и еще дороже.
1|В четвер ввечері оформила замовлення, станцію вже в п'ятницю отримала. Рекомендую продавця, все якісно та головне швидко, що для мене було дуже важливо. Досвід користування маю вже більше року Дельта 2, тому впевнено замовила другу. Це реальний помічник в наш час.
2|Вчера заказал- сегодня получил.  Это вообще супер.  Станция полностью соответствует характеристикам . Поставил в качестве бесперебойника на котел и холодильник . Свет погас - они работают .  Гора с плеч . Рекомендую продавца  и товар !
3|Все супер, відправили в той самий день.
4|Всё чудово. Користуюсь 2 місяці, ніяких нарікань немає. Швидко заряджається, мобільна в користуванні. Я дуже задоволена. Рекомендую.
5|Хороший товар. Оперативная поставка. Все отлично
6|Доставили адресной доставкой, быстро в тот же день!
7|Дуже якісна річ рекомендую працює без нарікань
8|Супер, гарна ціна, швидка доставка, гарне обслуговування
9|Дякую продавцю, все сподобалось.
10|Купили Eco Flow Delta 2/1800/1024 вт год ПIдклбчив электрик до щитка через АВР Зарядка була на нIй 30 За 1 годину зарядилась до 100 СветаIтор в цI часи не вIдключали тому ойIнити роботу станцI не прийшлось Але есть велике запитання- чому станция через кожнI 10 хвилин включала режим  вентиляцIi I вдень I вночи ломить шумно шо заважае вiдпочивати Шо роб ти?
11|Все працює другий рік
12|"По телефону парень был очень любезен, всё рассказал, всё договорились.   и началась игра ""уговорить курьера привезти товар вовремя!!"" Мне в виде одолжения привезли когда я практически уже хотела отказаться от покупки. Ни чека, ни гарантийного талона нет до сих пор!!! ЗА такие деньги не я должна уговаривать привезти в оговоренные сроки!!! Осадок остался не приятный!"
13|Дуже задоволена станцією. Працює добре, час від часу трошки шумить але це не критично. Очікувала її цілий місяць (про це попереджав продавець), але воно того варте було. Тепер можу спокійно працювати з дому і не нервувати з приводу відключень. Дякую продавцю  Щиро раджу!
14|все супер
15|Користуватися нею я встиг лише тиждень, потім на пів року поїхав. За час користування можу сказати, що я задоволений цією моделлю. 300 ватів на 3-4 години вистачає. 60 ватів на 17 годин. Швидкість переключення на ТВ на консоль PS5 десь 20м/с теж вистачає, щоб спрацював ДБЖ. Я її залишив повністю зарядженою (поетів вже дізнався що треба було хоча б на 60-80% залишити), подивимось як вона працюватиме по приїзду.
16|Швидкість оброблення замовлення, якість станції, інструктаж продавця - все чудово. Комп'ютер та ноутбук разом тягне 7-8 годин (без важких ігр). Заряджається 50-60 хвилин. Дуже мобільний завдяки невеликій вазі та формі. Дуже виручає в умовах нестабільних графіків світла.
17|Роботою зарядного станції задоволена. Щиро вдячна Віктору за професійний супровід та кваліфіковані поради.
18|Станцію брали для зарядки гаджетів. Виявилося, вона ще й холодильник 'тягне'
19|Все супер. Необхідна річ, особливо переконалися в цю зиму. просто виручала станція за час всіх відключень.
20|Швидко заряджається, з 7 до 100% - 60 хв. Показує на скільки годин, при певному навантаженні , залишилося заряду. Великі цифри особливо зручно для літніх людей. Чудовий дизайн, легка. Сервіс чудовий, відразу подзвонили і супровід протягом доставки повний.
21|Замовили товар у неділю, у понеділок вже отримали, були приємно здивовані такою швидкою доставкою.
22|Дякую
23|Продавець супер, швидко відправила. Я 8 січня замовила, 9 січня вже доставили. Станція дуже сподобалася. Працює тихо, заряджається швидко, тримає все що треба тримати. Раджу всім.
24|Работает отлично!
25|Дякую, все добре
26|Замовлення дійшло швидко станція супер.
27|Все добре, працює без нарікань, кращий товар для підтримання світла при відключеннях. Продавець чудовий, завжди відповідав бистро і чітко.
28|Дуже дякую продавцю за вчасну доставку, гарну консультацію, та якісний товар, замовляла зарядну станцію для хлопців 72 бригади, хлопці вже отримали і дуже задоволенні
29|Працює чудово
30|Вче чудово
31|Доброго дня, підкажіть будь ласка прийшла станція з одним силовим кабелем і розряджена до 28% це нормально? Бо я з цим  не стикався.
32|Були приємно вражені, що пристрій був заряджений на 80 %, був час перевірити відразу, тому що не було світла, пристрій абсолютно без проблем запускає котел, а ще швидко заряджається, за 6 годин без світла розряжається на 50%, і встигає за півтлри години зарядитися повністю, а ще працює без звучно, коли не має світла!  Лише, коли вмикають світло, екофло заряджається тоді вмикається вентилятор. Тому ми повністю задоволенні
33|Добрый вечер!3 дня назад получила от Вас экофлоу,проверила,все работает,котел тоже двухконтурный Rens,подключила по цепочке розетка-барьер-стабилизатор-экофлоу-котел. выключили свет ,котел работает ,электрика ,но не загорается.выключила,включила котел в сеть. В чем проблема?в нуле? Самое интерессное,ведь работал же сначала,очень жду ответа
34|На сторінці продавця невірно вказана комплектація! Відсутній кабель зарядки в автомобілі. Що стало критичним під час довгих відключень.
35|Станцію тестірую-поки все добре.
