,Titles,Text,isFake
0,"
Vance reveals what agent whispered in his ear as gunfire erupted at DC gala
",vanc reveal agent whisper ear gunfir erupt dc gala,1
1,"
Months after plane crash, Greg Biffle's tragic death takes another disturbing turn
",month plane crash greg biffl tragic death take anoth disturb turn,1
2,"
Kimmel jumps on Trump's quip during King Charles' visit, calls for president's firing
",kimmel jump trump quip king charl visit call presid fire,1
3,"
Former ESPN host declares Phil Mickelson permanently blacklisted from PGA Tour
",former espn host declar phil mickelson perman blacklist pga tour,0
4,"
Hegseth asks House Dems 'who are you cheering for?' at hearing on Capitol Hill
",hegseth ask hous dem cheer hear capitol hill,1
5,"
Feds bring indictments against suspects in attack on TPUSA reporter
",fed bring indict suspect attack tpusa report,0
6,"
Maine governor defies GOP with massive tax hike: Will the wealthy flee?
",main governor defi gop massiv tax hike wealthi flee,1
7,"
Mom of three gunned down trying to stop a man from attacking a woman: report
",mom three gun tri stop man attack woman report,1
8,"
Supreme Court unanimously slaps down blue state targeting pro-life group
",suprem court unanim slap blue state target pro life group,1
9,"
Judge rules on Scott Peterson's latest appeal in wife Laci's 2002 murder
",judg rule scott peterson latest appeal wife laci murder,1
10,"
TUNE IN: VP Vance joins 'The Will Cain Show' for an exclusive interview today at 4pm ET
                ",tune vp vanc join cain show exclus interview today et,0
11,"
                  GET THE BUNDLE: Stream FOX News, sports, and exclusive originals with the FOX One + FOX Nation bundle
                ",get bundl stream fox news sport exclus origin fox one fox nation bundl,1
12,"
LISTEN NOW: Dana Perino joins Kennedy for this week's Happy Hour!
                ",listen dana perino join kennedi week happi hour,0
13,"
                  Versatile polos you can wear anywhere, starting at $10
                ",versatil polo wear anywher start,1
14,"
Dan Bongino says 'mother lode' find proves Russia probe was 'bulls--- from the start'
",dan bongino say mother lode find prove russia probe bull start,1
15,"
Zeldin doubles down after torching Dem rep over landmark SCOTUS ruling
",zeldin doubl torch dem rep landmark scotu rule,1
16,"
Five bold points from King Charles' speech that could repair the Atlantic rift
",five bold point king charl speech could repair atlant rift,0
17,"
Jimmy Failla joins Riley Gaines to set the record straight on the viral 'shots fired' clip
",jimmi failla join riley gain set record straight viral shot fire clip,1
18,"
Taylor Swift makes bold legal move to protect her voice and image
",taylor swift make bold legal move protect voic imag,1
19,"
GOP torches left's 'confusing' applause for royalty after months of anti-Trump chants
",gop torch left confus applaus royalti month anti trump chant,1
20,"
Legal experts warn Comey ‘86 47’ indictment faces First Amendment hurdles
",legal expert warn comey indict face first amend hurdl,0
21,"
♠ CLICK HERE TO PLAY NOW! ♦
",click play,0
22,"
AAA national average gas price soars to highest point during Iran war
",aaa nation averag ga price soar highest point iran war,1
23,"
Fallen Marine's brutal CrossFit tribute now packs 400 gyms with 6,000 strong
",fallen marin brutal crossfit tribut pack gym strong,1
24,"
UK envoy says US ‘special relationship’ not with Britain, but another ally
",uk envoy say us special relationship britain anoth alli,0
25,"
The simple investment strategy that could change your financial future
",simpl invest strategi could chang financi futur,0
26,"
The best deals to shop this week: Up to 88% DeWalt, Weber, Swarovski and more
",best deal shop week dewalt weber swarovski,0
27,"
Church burglary suspect's rap sheet exposes Soros-backed prosecutor now facing Congress
",church burglari suspect rap sheet expos soro back prosecutor face congress,1
28,"
Tension boils over as country artist delivers brutal call-out to Zach Bryan
",tension boil countri artist deliv brutal call zach bryan,1
29,"
'It could be brutal' on set, Lisa Kudrow reveals about dark 'Friends' culture
",could brutal set lisa kudrow reveal dark friend cultur,1
30,"
Indianapolis war room video goes viral after seventh-rounder gets a sultry welcome
",indianapoli war room video goe viral seventh rounder get sultri welcom,1
31,"
Cookout season is here: These are the best grills to buy before Memorial Day
",cookout season best grill buy memori day,1
32,"
Your brain rewards fake sugar if it thinks it's real, new study says
",brain reward fake sugar think real new studi say,1
33,"
American Culture Quiz: Test yourself on baseball bests and restaurant revamps
",american cultur quiz test basebal best restaur revamp,1
34,"
Supreme Court limits use of Voting Rights Act provision as Louisiana map challenge fails
",suprem court limit use vote right act provis louisiana map challeng fail,0
35,"
Reds fans celebrate catcher Tyler Stephenson's ABS challenge, as it wins them free pizza
",red fan celebr catcher tyler stephenson ab challeng win free pizza,1
36,"
Jordon Hudson calls out Mike Florio for shutting down Vrabel-Russini talk
",jordon hudson call mike florio shut vrabel russini talk,1
37,"
Feds recover stolen spray drones Army warned could be used in attack, suspects at large
",fed recov stolen spray drone armi warn could use attack suspect larg,0
38,"
High school sweethearts’ young marriage ends in tragedy at quiet home
",high school sweetheart young marriag end tragedi quiet home,1
39,"
Fernando Cruz's sliding throw from his back nails runner at third in clutch moment
",fernando cruz slide throw back nail runner third clutch moment,0
40,"
California's fast railway budget soars from $33 billion to $231 billion
",california fast railway budget soar billion billion,0
41,"
My friend Charlie Kirk saw the danger of the SPLC long before its indictment
",friend charli kirk saw danger splc long indict,1
42,"
After racking up $882K on 'Jeopardy!' Jamie Ding takes aim at federal ICE crackdowns
",rack jeopardi jami ding take aim feder ice crackdown,0
