,Titles,Text,isFake
0,Police declare terrorist incident after two Jewish men stabbed in north London,polic declar terrorist incid two jewish men stab north london,1
1,Watch: How the Golders Green attack unfolded,watch golder green attack unfold,1
2,New images show suspect taking selfies before Washington press dinner shooting,new imag show suspect take selfi washington press dinner shoot,1
3,Stranded whale ferried out of German waters in barge,strand whale ferri german water barg,0
4,Comey surrenders over charge of threatening Trump's life in Instagram post,comey surrend charg threaten trump life instagram post,1
5,The diplomacy at play behind the King's speeches,diplomaci play behind king speech,0
6,"Russia scales back Moscow Victory Day parade, blaming threat from Ukraine",russia scale back moscow victori day parad blame threat ukrain,0
7,US defence secretary being quizzed on Iran war and says budget request shows 'urgency of moment',us defenc secretari quizz iran war say budget request show urgenc moment,1
8,"Stephen Fry sues tech conference for up to £100,000 after falling off stage",stephen fri sue tech confer fall stage,0
9,Oil price soars above $118 after reports of 'extended' Iran blockade,oil price soar report extend iran blockad,0
10,Seven lawsuits filed against OpenAI by families of Canada mass-shooting victims,seven lawsuit file openai famili canada mass shoot victim,1
11,France urges citizens to leave Mali after rebel attacks,franc urg citizen leav mali rebel attack,0
12,France investigates reappearance of website linked to Pelicot crimes,franc investig reappear websit link pelicot crime,0
14,Will King's US visit lead to lasting reset in relations with UK?,king us visit lead last reset relat uk,1
15,"'If it wasn't for us, you'd be speaking French', King jokes at state dinner",us speak french king joke state dinner,1
16,Five takeaways from the historic address to Congress,five takeaway histor address congress,0
17,"Fashion, billionaires and jokes: Inside the White House state dinner",fashion billionair joke insid white hous state dinner,1
20,"'Numbskull, moron and too stupid': Trump and Powell's biggest clashes",numbskul moron stupid trump powel biggest clash,0
21,Eleven cancers on the rise in young people - scientists find first clue why it's happening,eleven cancer rise young peopl scientist find first clue happen,1
22,"Russian paramilitary carried out air strikes in Mali as rebels advanced, footage shows",russian paramilitari carri air strike mali rebel advanc footag show,0
23,Billie Eilish and James Cameron team up for 3D concert film,billi eilish jame cameron team concert film,1
24,A fresh financial crisis may be coming - it won't play out like the last one,fresh financi crisi may come play like last one,0
25,Should I Marry a Murderer? - the love story that uncovered a killer,marri murder love stori uncov killer,1
26,Record labels rejected her - but Julia Wolf's gothic pop is on the rise,record label reject julia wolf gothic pop rise,0
28,"'If it wasn't for us, you'd be speaking French': King and Trump joke at dinner",us speak french king trump joke dinner,1
29,Watch: How the Golders Green attack unfolded,watch golder green attack unfold,1
30,Why has the UAE left Opec - and why does this matter?,uae left opec matter,1
31,Should Jimmy Kimmel be fired for telling a joke?,jimmi kimmel fire tell joke,1
32,"Jokes, gifts and a state dinner: Washington rolls out red carpet for King and Queen",joke gift state dinner washington roll red carpet king queen,0
34,US Supreme Court limits use of race in drawing electoral maps,us suprem court limit use race draw elector map,1
35,Global forest loss slows but El Niño fires could threaten progress,global forest loss slow el niño fire could threaten progress,0
36,Afghanistan women footballers can return to competition after FIFA rule changes,afghanistan women footbal return competit fifa rule chang,0
37,Robert Mugabe's son to be deported from South Africa over firearms offence,robert mugab son deport south africa firearm offenc,0
38,"Israeli 'double-tap' strike kills three rescue workers in Lebanon, officials say",isra doubl tap strike kill three rescu worker lebanon offici say,0
39,William and Catherine share new photo to mark 15th wedding anniversary,william catherin share new photo mark wed anniversari,0
40,Laura Dern replaces Helena Bonham Carter in The White Lotus,laura dern replac helena bonham carter white lotu,0
42,11 cancers on the rise in young people - scientists find first clue why it's happening,cancer rise young peopl scientist find first clue happen,1
43,William and Catherine share new photo to mark 15th wedding anniversary,william catherin share new photo mark wed anniversari,0
44,Supreme Court limits use of race in drawing electoral maps,suprem court limit use race draw elector map,0
45,"Russia scales back Moscow Victory Day parade, blaming threat from Ukraine",russia scale back moscow victori day parad blame threat ukrain,0
46,New images show suspect taking selfies before Washington press dinner shooting,new imag show suspect take selfi washington press dinner shoot,1
47,Five takeaways from the King's historic address to Congress,five takeaway king histor address congress,0
48,Nine held in religious group modern slavery raid,nine held religi group modern slaveri raid,0
49,"Fashion, billionaires and jokes: Inside the White House state dinner for the King and Queen",fashion billionair joke insid white hous state dinner king queen,0
50,The diplomacy at play behind the King's speeches,diplomaci play behind king speech,0
51,Oil price soars above $118 after reports of 'extended' Iran blockade,oil price soar report extend iran blockad,0
53,A record-breaking semi-final - the antidote to modern football?,record break semi final antidot modern footbal,1
54,WSL: Arsenal host Leicester in first of three games in hand on Man City,wsl arsen host leicest first three game hand man citi,1
55,Zaragoza keeper banned for 13 games for punching rival,zaragoza keeper ban game punch rival,0
56,Murphy dashes Zhao's hopes of lifting Crucible curse,murphi dash zhao hope lift crucibl curs,0
57,Chelsea's Mudryk appeals against four-year FA ban,chelsea mudryk appeal four year fa ban,0
58,Can Griezmann end his Atletico love story in style?,griezmann end atletico love stori style,1
59,'Joshua warm-up defeat would scupper Fury fight',joshua warm defeat would scupper furi fight,0
